date,symbol,prob,entry,gross_ret,net_ret,hold_days,win,exit_reason
2026-01-07,GVR,0.5642,29.45,0.08,0.077,2,1,tp
2026-01-07,VND,0.5394,18.76,0.08,0.077,4,1,tp
2026-01-08,BID,0.5905,39.83,0.08,0.077,2,1,tp
2026-01-08,CTG,0.5692,37.62,0.08,0.077,2,1,tp
2026-01-08,DCM,0.5559,32.76,0.08,0.077,10,1,tp
2026-01-08,POW,0.5652,14.0,0.08,0.077,4,1,tp
2026-01-08,VCB,0.5865,63.17,0.08,0.077,2,1,tp
2026-01-09,GAS,0.5716,97.1,0.08,0.077,3,1,tp
2026-01-09,VHM,0.671,67.41,-0.05,-0.053,1,0,sl
2026-01-09,VRE,0.636,33.8,-0.05,-0.053,1,0,sl
2026-01-12,BID,0.5848,45.57,0.08,0.077,2,1,tp
2026-01-12,CTG,0.6399,40.87,-0.05,-0.053,7,0,sl
2026-01-12,DPM,0.5546,22.75,0.08,0.077,8,1,tp
2026-01-12,DXG,0.5418,14.12,-0.05,-0.053,7,0,sl
2026-01-12,GVR,0.6113,32.2,0.08,0.077,2,1,tp
2026-01-12,PLX,0.601,40.93,0.08,0.077,2,1,tp
2026-01-12,SSI,0.5524,25.94,-0.05,-0.053,10,0,sl
2026-01-12,STB,0.535,53.8,0.08,0.077,4,1,tp
2026-01-12,TPB,0.5545,18.2,-0.05,-0.053,7,0,sl
2026-01-12,VCB,0.6321,72.1,0.08,0.077,2,1,tp
2026-01-12,VHM,0.6899,62.69,-0.05,-0.053,3,0,sl
2026-01-12,VIC,0.8701,163.7,-0.05,-0.053,3,0,sl
2026-01-12,VPB,0.5539,29.67,-0.05,-0.053,9,0,sl
2026-01-12,VRE,0.6652,31.49,-0.05,-0.053,3,0,sl
2026-01-13,HCM,0.5866,21.62,-0.05,-0.053,6,0,sl
2026-01-14,VND,0.5606,20.02,-0.05,-0.053,5,0,sl
2026-01-15,POW,0.5559,14.25,-0.05,-0.053,10,0,sl
2026-01-15,SAB,0.5324,49.31,-0.05,-0.053,6,0,sl
2026-01-15,VNM,0.5419,68.75,-0.05,-0.053,6,0,sl
2026-01-16,BID,0.5674,47.28,0.08,0.077,2,1,tp
