date,symbol,prob,entry,gross_ret,net_ret,hold_days,win,exit_reason
2025-11-03,HCM,0.7611,18.95,0.0069,0.0039,25,0,time
2025-11-03,STB,0.6824,52.3,-0.05,-0.053,4,0,sl
2025-11-03,TPB,0.664,16.65,0.033,0.03,25,0,time
2025-11-03,VND,0.7089,18.27,0.08,0.077,2,1,tp
2025-11-04,CTG,0.7207,34.01,-0.05,-0.053,5,0,sl
2025-11-05,SSI,0.6546,25.41,-0.05,-0.053,2,0,sl
2025-11-06,VNM,0.653,56.16,0.08,0.077,6,1,tp
2025-11-06,VPB,0.6735,28.0,-0.0121,-0.0151,25,0,time
2025-11-07,FRT,0.6373,132.86,0.08,0.077,18,1,tp
2025-11-07,TCB,0.6428,32.32,-0.0303,-0.0333,25,0,time
2025-11-07,VCB,0.8037,58.81,-0.0422,-0.0452,25,0,time
2025-11-07,VND,0.8019,18.37,0.08,0.077,7,1,tp
2025-11-10,MWG,0.7522,75.62,0.08,0.077,6,1,tp
2025-11-10,SSI,0.7208,24.46,-0.05,-0.053,16,0,sl
2025-11-10,STB,0.6806,48.5,-0.05,-0.053,24,0,sl
2025-11-11,PNJ,0.6483,58.83,0.0371,0.0341,25,0,time
2025-11-13,CTG,0.754,33.26,0.0171,0.0141,25,0,time
2025-11-17,HDB,0.6302,23.17,0.08,0.077,12,1,tp
2025-11-17,MSN,0.6413,79.7,-0.05,-0.053,19,0,sl
2025-11-18,VNM,0.6464,58.78,0.08,0.077,9,1,tp
2025-11-19,GVR,0.6789,28.0,-0.05,-0.053,9,0,sl
2025-12-03,GVR,0.6938,27.7,-0.05,-0.053,7,0,sl
2025-12-03,POW,0.6593,12.27,-0.05,-0.053,7,0,sl
2025-12-08,NLG,0.6343,35.17,-0.05,-0.053,4,0,sl
2025-12-08,SAB,0.6332,47.74,-0.05,-0.053,4,0,sl
2025-12-09,FRT,0.6538,147.15,-0.05,-0.053,3,0,sl
2025-12-11,VHM,0.6502,48.68,-0.05,-0.053,1,0,sl
2025-12-12,VIC,0.6454,144.0,0.08,0.077,6,1,tp
2025-12-15,NLG,0.7213,30.61,-0.05,-0.053,17,0,sl
2025-12-16,KDH,0.6351,31.6,-0.05,-0.053,16,0,sl
2025-12-17,DPM,0.6536,20.83,0.08,0.077,14,1,tp
2025-12-19,DXG,0.6498,15.61,-0.05,-0.053,5,0,sl
2025-12-22,TPB,0.6727,17.3,-0.0231,-0.0261,25,0,time
2025-12-24,GAS,0.6621,66.1,0.08,0.077,3,1,tp
2025-12-24,PNJ,0.6555,63.26,0.08,0.077,9,1,tp
2025-12-25,VHM,0.6915,55.04,-0.05,-0.053,1,0,sl
2025-12-25,VRE,0.7196,31.15,-0.05,-0.053,1,0,sl
2025-12-26,HSG,0.638,12.35,-0.05,-0.053,5,0,sl
2025-12-29,CTG,0.6393,34.76,0.08,0.077,6,1,tp
2025-12-29,MWG,0.6944,85.77,0.08,0.077,24,1,tp
2025-12-29,VHM,0.7238,56.67,0.08,0.077,3,1,tp
2025-12-29,VND,0.6683,19.24,-0.05,-0.053,3,0,sl
2025-12-29,VPB,0.7722,27.51,0.08,0.077,9,1,tp
2025-12-29,VRE,0.8156,32.06,0.08,0.077,4,1,tp
2025-12-31,STB,0.6407,58.0,-0.05,-0.053,3,0,sl
2026-01-05,GAS,0.6657,77.4,0.08,0.077,2,1,tp
2026-01-05,HSG,0.6456,11.88,0.08,0.077,8,1,tp
2026-01-05,MBB,0.7241,20.3,0.08,0.077,4,1,tp
2026-01-05,VND,0.7148,18.17,0.08,0.077,5,1,tp
2026-01-05,VRE,0.7699,34.38,0.08,0.077,2,1,tp
2026-01-06,HPG,0.6334,23.17,0.08,0.077,8,1,tp
2026-01-06,PDR,0.6384,18.65,-0.05,-0.053,3,0,sl
2026-01-06,STB,0.6419,56.7,-0.05,-0.053,1,0,sl
2026-01-07,DPM,0.7257,21.96,0.08,0.077,5,1,tp
2026-01-08,MSN,0.6343,78.3,0.08,0.077,6,1,tp
2026-01-08,PNJ,0.667,68.67,0.08,0.077,7,1,tp
2026-01-08,VHM,0.6842,66.98,-0.05,-0.053,2,0,sl
2026-01-09,CTG,0.662,40.13,-0.05,-0.053,11,0,sl
2026-01-09,GAS,0.667,97.1,0.08,0.077,3,1,tp
2026-01-09,KDH,0.7639,28.6,-0.05,-0.053,12,0,sl
2026-01-12,DCM,0.7004,33.37,0.08,0.077,9,1,tp
2026-01-12,GVR,0.659,32.2,0.08,0.077,2,1,tp
2026-01-12,MBB,0.6642,22.59,-0.05,-0.053,3,0,sl
2026-01-12,PLX,0.6677,40.93,0.08,0.077,2,1,tp
2026-01-12,POW,0.6955,14.15,-0.05,-0.053,13,0,sl
2026-01-12,VHM,0.6719,62.69,-0.05,-0.053,3,0,sl
2026-01-13,BID,0.6501,47.19,0.08,0.077,5,1,tp
2026-01-13,SSI,0.6644,26.18,-0.05,-0.053,9,0,sl
2026-01-13,TCB,0.6473,36.58,-0.05,-0.053,2,0,sl
2026-01-13,VCB,0.6444,73.39,-0.05,-0.053,8,0,sl
2026-01-13,VRE,0.6387,32.4,-0.05,-0.053,1,0,sl
2026-01-14,VND,0.6599,20.02,-0.05,-0.053,5,0,sl
2026-01-15,GAS,0.7612,103.0,0.08,0.077,8,1,tp
2026-01-15,HCM,0.6401,22.09,-0.05,-0.053,4,0,sl
2026-01-16,DPM,0.6983,22.56,0.08,0.077,4,1,tp
2026-01-16,DXG,0.6699,13.95,-0.05,-0.053,3,0,sl
2026-01-16,GVR,0.6867,35.9,0.08,0.077,2,1,tp
2026-01-16,PLX,0.7126,50.2,0.08,0.077,2,1,tp
2026-01-16,VPB,0.6471,28.39,-0.05,-0.053,11,0,sl
2026-01-19,HPG,0.7492,24.73,-0.05,-0.053,5,0,sl
2026-01-19,MBB,0.658,22.03,-0.05,-0.053,5,0,sl
2026-01-19,MSN,0.7155,80.2,-0.05,-0.053,5,0,sl
2026-01-19,PNJ,0.6872,76.14,-0.05,-0.053,3,0,sl
2026-01-20,GVR,0.731,39.0,-0.05,-0.053,1,0,sl
2026-01-20,PLX,0.6906,56.96,-0.05,-0.053,1,0,sl
2026-01-21,TCB,0.6318,35.06,-0.05,-0.053,24,0,sl
2026-01-22,BID,0.7401,48.11,0.08,0.077,8,1,tp
2026-01-23,DXG,0.6668,13.42,-0.05,-0.053,10,0,sl
2026-01-23,GVR,0.7259,36.9,0.08,0.077,2,1,tp
2026-01-23,PLX,0.7134,52.71,0.08,0.077,2,1,tp
2026-01-26,PNJ,0.7293,77.87,0.08,0.077,3,1,tp
2026-01-27,GVR,0.7336,39.85,0.08,0.077,5,1,tp
2026-01-27,KDH,0.8322,26.7,-0.05,-0.053,24,0,sl
2026-01-27,PLX,0.7227,58.79,-0.05,-0.053,1,0,sl
2026-01-27,SSI,0.6548,24.66,0.08,0.077,20,1,tp
2026-01-28,GAS,0.6726,118.0,-0.05,-0.053,1,0,sl
2026-01-28,HPG,0.6899,23.84,0.08,0.077,15,1,tp
2026-01-28,MBB,0.7552,21.26,0.08,0.077,10,1,tp
2026-01-28,TPB,0.7104,16.9,0.08,0.077,14,1,tp
2026-01-28,VNM,0.6504,65.55,0.08,0.077,4,1,tp
2026-01-30,DGC,0.7222,68.6,0.08,0.077,12,1,tp
2026-01-30,PDR,0.6383,17.7,-0.05,-0.053,5,0,sl
2026-01-30,PLX,0.709,56.86,-0.05,-0.053,5,0,sl
2026-02-02,PNJ,0.6697,78.8,-0.05,-0.053,4,0,sl
2026-02-02,POW,0.7515,14.35,-0.05,-0.053,4,0,sl
2026-02-03,VRE,0.6477,27.43,-0.05,-0.053,15,0,sl
2026-02-05,ACB,0.6709,20.2,-0.05,-0.053,17,0,sl
2026-02-05,VIC,0.6553,130.1,0.08,0.077,3,1,tp
2026-02-06,VND,0.6739,17.15,0.08,0.077,7,1,tp
2026-02-09,DXG,0.7223,13.16,-0.05,-0.053,12,0,sl
2026-02-09,PDR,0.6542,17.3,-0.05,-0.053,9,0,sl
2026-02-09,POW,0.662,13.45,0.08,0.077,9,1,tp
2026-02-11,DPM,0.6376,23.64,0.08,0.077,7,1,tp
2026-02-11,VIC,0.727,150.8,0.08,0.077,2,1,tp
2026-02-12,HDB,0.6581,27.85,-0.05,-0.053,8,0,sl
2026-02-23,DGC,0.924,70.2,0.08,0.077,2,1,tp
2026-02-23,PDR,0.7164,17.5,-0.05,-0.053,4,0,sl
2026-02-23,VIC,0.7683,162.3,0.08,0.077,4,1,tp
2026-02-23,VND,0.7462,18.32,-0.05,-0.053,5,0,sl
2026-02-25,HDB,0.7494,28.45,-0.05,-0.053,3,0,sl
2026-02-26,SSI,0.764,25.9,0.08,0.077,5,1,tp
2026-02-26,VRE,0.7576,28.73,-0.05,-0.053,2,0,sl
2026-02-27,DGC,0.9014,73.8,-0.05,-0.053,3,0,sl
2026-02-27,HPG,0.6417,25.71,-0.05,-0.053,3,0,sl
2026-02-27,MSN,0.633,79.0,-0.05,-0.053,3,0,sl
2026-03-02,DPM,0.6376,27.62,0.08,0.077,2,1,tp
2026-03-02,VIC,0.7511,167.2,-0.05,-0.053,1,0,sl
2026-03-02,VRE,0.7818,26.85,-0.05,-0.053,1,0,sl
2026-03-03,HDB,0.6343,26.5,-0.05,-0.053,4,0,sl
2026-03-03,MWG,0.668,86.85,-0.05,-0.053,3,0,sl
2026-03-03,REE,0.6441,56.09,-0.05,-0.053,3,0,sl
2026-03-03,VHM,0.6456,45.02,-0.05,-0.053,1,0,sl
2026-03-04,TCB,0.6543,31.83,-0.05,-0.053,3,0,sl
2026-03-05,DGC,0.8162,71.0,0.08,0.077,2,1,tp
2026-03-05,MBB,0.6461,21.67,-0.05,-0.053,2,0,sl
2026-03-05,MSN,0.6769,75.3,-0.05,-0.053,2,0,sl
2026-03-05,POW,0.6419,15.15,-0.05,-0.053,2,0,sl
2026-03-05,VIC,0.6619,164.8,-0.05,-0.053,1,0,sl
2026-03-05,VPB,0.6314,26.53,-0.05,-0.053,2,0,sl
2026-03-05,VRE,0.6627,26.08,-0.05,-0.053,2,0,sl
2026-03-06,DPM,0.7439,29.17,0.08,0.077,4,1,tp
2026-03-06,VHM,0.6557,45.74,-0.05,-0.053,1,0,sl
2026-03-09,ACB,0.6627,18.7,0.08,0.077,2,1,tp
2026-03-09,DCM,0.6522,43.54,0.08,0.077,3,1,tp
2026-03-09,DGC,0.691,71.0,0.08,0.077,2,1,tp
2026-03-09,MBB,0.6773,19.9,0.08,0.077,2,1,tp
